wkt_geom,UniqueID
"MultiLineString ((-3.37747488160167109 50.92017576769190157, -3.37748318151522708 50.92023426768070493, -3.37748348140529764 50.92030866766882724, -3.37746198132362441 50.92036416766504914, -3.37734738119500033 50.92045296767771845, -3.37731968104030145 50.92055886766757311, -3.37736758096239287 50.92061096764813755))",Speed Limits-1009
"MultiLineString ((-4.44539517101195791 51.00746317197004487, -4.44530567107424979 51.00749877195111992, -4.44512717117989986 51.0075434718990337, -4.44511967118442097 51.00754547189691124, -4.4448406713527806 51.00762197181772706))",Speed Limits-1025
"MultiLineString ((-4.53259646268912864 50.99501456313906544, -4.5327868624997576 50.99485616292902534, -4.53288066224906139 50.99448146248465008))",Speed Limits-1035
"MultiLineString ((-3.48519326884481107 50.90182946518471141, -3.48512916881296908 50.90189076519301636, -3.48499796875157619 50.90200906520924917, -3.48497016873654353 50.9020407652133926, -3.4849768687206546 50.90209146521831229, -3.48497446870733274 50.90213016522235279, -3.48492526868239771 50.90218276522929131),(-3.48530106891959335 50.90166856516491833, -3.48532176890803136 50.90171176516862772, -3.48519326884481107 50.90182946518471141),(-3.48529646896506229 50.90153686515167664, -3.48530106891959335 50.90166856516491833))",Speed Limits-1039
"MultiLineString ((-3.32327007715762024 50.95838987063594772, -3.32337297717786173 50.95838597065144171))",Speed Limits-1060
"MultiLineString ((-3.32363387723277759 50.95839527069247765, -3.32370897724925518 50.95840107070466729))",Speed Limits-1062
"MultiLineString ((-4.20863407354305163 51.02076205284843979, -4.20863477376147443 51.02101265311929268, -4.2088128738490056 51.02123275307727113))",Speed Limits-1072
"MultiLineString ((-4.21378187365861656 51.02714675591152371, -4.2133048738792489 51.02712545628751428))",Speed Limits-1082
"MultiLineString ((-3.48804878769302551 50.98927486839823331, -3.48790708770705082 50.98922006839644183, -3.48776808771724722 50.98915336838781087, -3.48765228773204505 50.98911886839206886, -3.48757828774437373 50.98910656839999689, -3.48748958775750673 50.98908596840642105, -3.48732758777713148 50.98903246840961856),(-3.48814258764963903 50.9891956683369969, -3.48804878769302551 50.98927486839823331),(-3.4882988875769021 50.98906376823484976, -3.48814258764963903 50.9891956683369969),(-3.48732758777713148 50.98903246840961856, -3.48723398778971516 50.98900556841368115))",Speed Limits-1099
"MultiLineString ((-3.48699268801282658 50.98961766878904456, -3.48687228802948868 50.9895878687965407, -3.4867653880456424 50.98956606880571485, -3.48667108806145798 50.98955226881673752, -3.48654348808643633 50.98954656883854852, -3.48637958812039672 50.98954596887022461, -3.48627478814061442 50.98954006888750712, -3.48618858815564137 50.98952916889852816))",Speed Limits-1105
"MultiLineString ((-3.47030588240178473 50.98712286775493396, -3.47021538237160598 50.98718286779051567, -3.47005978234763202 50.9876438680720554, -3.46989118231525229 50.98808396834152745))",Speed Limits-1117
"MultiLineString ((-4.2054904649080358 51.16993246863481204, -4.2067169652534302 51.16990746811985957, -4.2069067653094141 51.16990736804108053, -4.20704236548657917 51.17013376804710134, -4.20703536551028545 51.17017616806163005, -4.20697226552299242 51.17022656810117098, -4.20693356555917486 51.17030376813798398, -4.20692846558547728 51.17034916815241985, -4.20696266562758137 51.17040276815323097, -4.20701046565501091 51.17042626814039608, -4.20710916568324045 51.17042826810122591, -4.20728936571792111 51.17040356802175438, -4.20751786576003184 51.1703682679195424))",Speed Limits-1127
"MultiLineString ((-4.20673676677144659 51.17235356876670949, -4.20676106672236116 51.17226636873462553, -4.2061581663156975 51.17181946883720656))",Speed Limits-1129
