UniqueID,District,Entity Type,WKT
3218-TOTN_BOB2_O_280_60,South Hams,Bus Routes,"MultiLineString ((-3.6912121727692635 50.4291170777387023, -3.69120573315401 50.4290865014119163))"
3219-TOTN_BOB2_O_280_60,South Hams,Bus Routes,"MultiLineString ((-3.69120573315401 50.4290865014119163, -3.6911748371475972 50.4289385476079488))"
3220-TOTN_BOB2_O_280_60,South Hams,Bus Routes,"MultiLineString ((-3.6911748371475972 50.4289385476079488, -3.6910173917884754 50.4288744594347804))"
3221-TOTN_BOB2_O_280_60,South Hams,Bus Routes,"MultiLineString ((-3.6910173917884754 50.4288744594347804, -3.6910039616478052 50.4288689883333703))"
3222-TOTN_BOB2_O_280_60,South Hams,Bus Routes,"MultiLineString ((-3.6910039616478052 50.4288689883333703, -3.6909869620839153 50.4288621300486497))"
3223-TOTN_BOB2_O_280_60,South Hams,Bus Routes,"MultiLineString ((-3.6909869620839153 50.4288621300486497, -3.6907990844220797 50.4287856222832929))"
3224-TOTN_BOB2_O_280_60,South Hams,Bus Routes,"MultiLineString ((-3.6907990844220797 50.4287856222832929, -3.6905186321161256 50.4286320306426532))"
3225-TOTN_BOB2_O_280_60,South Hams,Bus Routes,"MultiLineString ((-3.6905186321161256 50.4286320306426532, -3.6902380377014934 50.4284783504506251))"
3226-TOTN_BOB2_O_280_60,South Hams,Bus Routes,"MultiLineString ((-3.6902380377014934 50.4284783504506251, -3.6894575015611646 50.4283454212117306))"
3227-TOTN_BOB2_O_280_60,South Hams,Bus Routes,"MultiLineString ((-3.6894575015611646 50.4283454212117306, -3.6886768257696896 50.4282123988290962))"
3228-TOTN_BOB2_O_280_60,South Hams,Bus Routes,"MultiLineString ((-3.6886768257696896 50.4282123988290962, -3.6885079198370287 50.4281703293004142))"
3229-TOTN_BOB2_O_280_60,South Hams,Bus Routes,"MultiLineString ((-3.6885079198370287 50.4281703293004142, -3.6883388702774456 50.4281281716699823))"
3230-TOTN_BOB2_O_280_60,South Hams,Bus Routes,"MultiLineString ((-3.6883388702774456 50.4281281716699823, -3.6881325292270541 50.4280628104046258))"
3231-TOTN_BOB2_O_280_60,South Hams,Bus Routes,"MultiLineString ((-3.6881325292270541 50.4280628104046258, -3.6879261855448906 50.4279973588711314))"
3232-TOTN_BOB2_O_280_60,South Hams,Bus Routes,"MultiLineString ((-3.6879261855448906 50.4279973588711314, -3.6877211483365504 50.4279013080340022))"
3233-TOTN_BOB2_O_280_60,South Hams,Bus Routes,"MultiLineString ((-3.6877211483365504 50.4279013080340022, -3.6876767630015177 50.4278805458680068))"
3234-TOTN_BOB2_O_280_60,South Hams,Bus Routes,"MultiLineString ((-3.6876767630015177 50.4278805458680068, -3.6876077478782108 50.42776102579586))"
3235-TOTN_BOB2_O_280_60,South Hams,Bus Routes,"MultiLineString ((-3.6876077478782108 50.42776102579586, -3.6875718552827563 50.4277098302413265))"
3236-TOTN_BOB2_O_280_60,South Hams,Bus Routes,"MultiLineString ((-3.6875718552827563 50.4277098302413265, -3.6875359627661299 50.4276586346744153))"
3237-TOTN_BOB2_O_280_60,South Hams,Bus Routes,"MultiLineString ((-3.6875359627661299 50.4276586346744153, -3.687331106128275 50.427504208730646))"
3238-TOTN_BOB2_O_280_60,South Hams,Bus Routes,"MultiLineString ((-3.687331106128275 50.427504208730646, -3.6870115368676042 50.4274537987766038))"
3239-TOTN_BOB2_O_280_60,South Hams,Bus Routes,"MultiLineString ((-3.6870115368676042 50.4274537987766038, -3.686384157034083 50.4273549643949224))"
3240-TOTN_BOB2_O_280_60,South Hams,Bus Routes,"MultiLineString ((-3.686384157034083 50.4273549643949224, -3.6857892131664554 50.427301166890409))"
3241-TOTN_BOB2_O_280_60,South Hams,Bus Routes,"MultiLineString ((-3.6857892131664554 50.427301166890409, -3.6851941298572446 50.4272473683648457))"
3242-TOTN_BOB2_O_280_60,South Hams,Bus Routes,"MultiLineString ((-3.6851941298572446 50.4272473683648457, -3.6850135894075864 50.4270915068675905))"
3243-TOTN_BOB2_O_280_60,South Hams,Bus Routes,"MultiLineString ((-3.6850135894075864 50.4270915068675905, -3.6848329062417653 50.4269355572152165))"
3244-TOTN_BOB2_O_280_60,South Hams,Bus Routes,"MultiLineString ((-3.6848329062417653 50.4269355572152165, -3.6848313792978393 50.426916331923259))"
3245-TOTN_BOB2_O_280_60,South Hams,Bus Routes,"MultiLineString ((-3.6848313792978393 50.426916331923259, -3.6848297116327613 50.4268971086689604))"
3246-TOTN_BOB2_O_280_60,South Hams,Bus Routes,"MultiLineString ((-3.6848297116327613 50.4268971086689604, -3.6848246386506909 50.4268017545821081))"
3247-TOTN_BOB2_O_280_60,South Hams,Bus Routes,"MultiLineString ((-3.6848246386506909 50.4268017545821081, -3.6848194249717263 50.4267064025310674))"
3248-TOTN_BOB2_O_280_60,South Hams,Bus Routes,"MultiLineString ((-3.6848194249717263 50.4267064025310674, -3.6847791090078745 50.4265304318665954))"
3249-TOTN_BOB2_O_280_60,South Hams,Bus Routes,"MultiLineString ((-3.6847791090078745 50.4265304318665954, -3.6847386526387118 50.4263544632172511))"
3250-TOTN_BOB2_O_280_60,South Hams,Bus Routes,"MultiLineString ((-3.6847386526387118 50.4263544632172511, -3.6841748891778674 50.4250755692244965))"
3251-TOTN_BOB2_O_280_60,South Hams,Bus Routes,"MultiLineString ((-3.6841748891778674 50.4250755692244965, -3.6839381881347588 50.4245387208865878))"
3252-TOTN_BOB2_O_280_60,South Hams,Bus Routes,"MultiLineString ((-3.6839381881347588 50.4245387208865878, -3.6841121980744678 50.424117887663229))"
3253-TOTN_BOB2_O_280_60,South Hams,Bus Routes,"MultiLineString ((-3.6841121980744678 50.424117887663229, -3.6841156393365178 50.4237822687121451))"
3254-TOTN_BOB2_O_280_60,South Hams,Bus Routes,"MultiLineString ((-3.6841156393365178 50.4237822687121451, -3.6840474701212056 50.42330513007132))"
3255-TOTN_BOB2_O_280_60,South Hams,Bus Routes,"MultiLineString ((-3.6840474701212056 50.42330513007132, -3.6838135401031331 50.4230207950944944))"
3256-TOTN_BOB2_O_280_60,South Hams,Bus Routes,"MultiLineString ((-3.6838135401031331 50.4230207950944944, -3.683444998698544 50.4225729163146426))"
3257-TOTN_BOB2_O_280_60,South Hams,Bus Routes,"MultiLineString ((-3.683444998698544 50.4225729163146426, -3.6833430322314382 50.4222858614788265))"
3258-TOTN_BOB2_O_280_60,South Hams,Bus Routes,"MultiLineString ((-3.6833430322314382 50.4222858614788265, -3.6833259175431343 50.4221247552642424))"
3259-TOTN_BOB2_O_280_60,South Hams,Bus Routes,"MultiLineString ((-3.6833259175431343 50.4221247552642424, -3.6833087997972527 50.4219635591471871))"
3260-TOTN_BOB2_O_280_60,South Hams,Bus Routes,"MultiLineString ((-3.6833087997972527 50.4219635591471871, -3.6832058363229807 50.4214338582480011))"
3261-TOTN_BOB2_O_280_60,South Hams,Bus Routes,"MultiLineString ((-3.6832058363229807 50.4214338582480011, -3.6822067863668324 50.4207241037603922))"
3262-TOTN_BOB2_O_280_60,South Hams,Bus Routes,"MultiLineString ((-3.6822067863668324 50.4207241037603922, -3.6821172819113905 50.4204070072956085))"
3263-TOTN_BOB2_O_280_60,South Hams,Bus Routes,"MultiLineString ((-3.6821172819113905 50.4204070072956085, -3.6822236287299028 50.4200749371345864))"
3264-TOTN_BOB2_O_280_60,South Hams,Bus Routes,"MultiLineString ((-3.6822236287299028 50.4200749371345864, -3.6822750979806842 50.4199144580102541))"
3265-TOTN_BOB2_O_280_60,South Hams,Bus Routes,"MultiLineString ((-3.6822750979806842 50.4199144580102541, -3.6825293727185553 50.419542023643217))"
3266-TOTN_BOB2_O_280_60,South Hams,Bus Routes,"MultiLineString ((-3.6825293727185553 50.419542023643217, -3.6828028103756032 50.4193132168746914))"
3267-TOTN_BOB2_O_280_60,South Hams,Bus Routes,"MultiLineString ((-3.6828028103756032 50.4193132168746914, -3.6834927937390582 50.4189614597125768))"
3268-TOTN_BOB2_O_280_60,South Hams,Bus Routes,"MultiLineString ((-3.6834927937390582 50.4189614597125768, -3.6845112710258641 50.4186359722935507))"
3269-TOTN_BOB2_O_280_60,South Hams,Bus Routes,"MultiLineString ((-3.6845112710258641 50.4186359722935507, -3.6842672520999602 50.4183404516653511))"
3270-TOTN_BOB2_O_280_60,South Hams,Bus Routes,"MultiLineString ((-3.6842672520999602 50.4183404516653511, -3.6840232330538387 50.4180448405904897))"
3271-TOTN_BOB2_O_280_60,South Hams,Bus Routes,"MultiLineString ((-3.6840232330538387 50.4180448405904897, -3.6834186577575903 50.4173267776700342))"
3272-TOTN_BOB2_O_280_60,South Hams,Bus Routes,"MultiLineString ((-3.6834186577575903 50.4173267776700342, -3.6830842507590846 50.4165299739905777))"
3273-TOTN_BOB2_O_280_60,South Hams,Bus Routes,"MultiLineString ((-3.6830842507590846 50.4165299739905777, -3.6823111970615678 50.4157676645455268))"
3274-TOTN_BOB2_O_280_60,South Hams,Bus Routes,"MultiLineString ((-3.6823111970615678 50.4157676645455268, -3.681872980161395 50.4148686568005076))"
3275-TOTN_BOB2_O_280_60,South Hams,Bus Routes,"MultiLineString ((-3.681872980161395 50.4148686568005076, -3.6817495802929572 50.4146155485474381))"
3276-TOTN_BOB2_O_280_60,South Hams,Bus Routes,"MultiLineString ((-3.6817495802929572 50.4146155485474381, -3.6812266290305571 50.413759675487313))"
3277-TOTN_BOB2_O_280_60,South Hams,Bus Routes,"MultiLineString ((-3.6812266290305571 50.413759675487313, -3.6808581282310588 50.4128925745928171))"
