UniqueID,District,Entity Type,WKT
39464-DTCO_343_O_296_112,Mid Devon,Bus Routes,"MultiLineString ((-3.4981169913234136 50.8941255255891321, -3.4981381106908871 50.8941322687643094))"
39465-DTCO_343_O_296_112,Mid Devon,Bus Routes,"MultiLineString ((-3.4981381106908871 50.8941322687643094, -3.4983251375386115 50.8942043277458467))"
39466-DTCO_343_O_296_112,Mid Devon,Bus Routes,"MultiLineString ((-3.4983251375386115 50.8942043277458467, -3.4985121649632358 50.8942763864243446))"
39467-DTCO_343_O_296_112,Mid Devon,Bus Routes,"MultiLineString ((-3.4985121649632358 50.8942763864243446, -3.4985905151388978 50.8943118012606632))"
39468-DTCO_343_O_296_112,Mid Devon,Bus Routes,"MultiLineString ((-3.4985905151388978 50.8943118012606632, -3.4986015325290376 50.8943167596109873))"
39469-DTCO_343_O_296_112,Mid Devon,Bus Routes,"MultiLineString ((-3.4970241309565093 50.9037175799477524, -3.496110522610592 50.9035414984650387, -3.4956449563607417 50.9034996302600717, -3.4942756873386323 50.9034709684151849))"
39470-DTCO_343_O_296_112,Mid Devon,Bus Routes,"MultiLineString ((-3.4942756873386323 50.9034709684151849, -3.494247889316231 50.9033579215814527))"
39471-DTCO_343_O_296_112,Mid Devon,Bus Routes,"MultiLineString ((-3.494247889316231 50.9033579215814527, -3.4942200943119825 50.9032449646326697))"
39472-DTCO_343_O_296_112,Mid Devon,Bus Routes,"MultiLineString ((-3.4942200943119825 50.9032449646326697, -3.4942083213364503 50.9031970923124106))"
39473-DTCO_343_O_296_112,Mid Devon,Bus Routes,"MultiLineString ((-3.4942083213364503 50.9031970923124106, -3.4941965512642343 50.9031493098847818))"
39474-DTCO_343_O_296_112,Mid Devon,Bus Routes,"MultiLineString ((-3.4941965512642343 50.9031493098847818, -3.4941782196069537 50.903074272494635))"
39475-DTCO_343_O_296_112,Mid Devon,Bus Routes,"MultiLineString ((-3.4941782196069537 50.903074272494635, -3.494159742967168 50.9029991470286873))"
39476-DTCO_343_O_296_112,Mid Devon,Bus Routes,"MultiLineString ((-3.494159742967168 50.9029991470286873, -3.4941568069484923 50.9029874036823458))"
39477-DTCO_343_O_296_112,Mid Devon,Bus Routes,"MultiLineString ((-3.4941568069484923 50.9029874036823458, -3.4941538680532052 50.902975570441626))"
39478-DTCO_343_O_296_112,Mid Devon,Bus Routes,"MultiLineString ((-3.4941538680532052 50.902975570441626, -3.4941478944727544 50.9029510886127596))"
39479-DTCO_343_O_296_112,Mid Devon,Bus Routes,"MultiLineString ((-3.4929650936079919 50.8988395669907021, -3.4933404876285667 50.8987710032415919, -3.4944756260550576 50.8986291995289051))"
39480-DTCO_343_O_296_112,Mid Devon,Bus Routes,"MultiLineString ((-3.4944756260550576 50.8986291995289051, -3.4948135841784005 50.8986312504785516))"
39481-DTCO_343_O_296_112,Mid Devon,Bus Routes,"MultiLineString ((-3.4948135841784005 50.8986312504785516, -3.495151545190931 50.8986333903440311))"
39482-DTCO_343_O_296_112,Mid Devon,Bus Routes,"MultiLineString ((-3.495151545190931 50.8986333903440311, -3.495272099736527 50.8986410167101937))"
39483-DTCO_343_O_296_112,Mid Devon,Bus Routes,"MultiLineString ((-3.495272099736527 50.8986410167101937, -3.4953926571995604 50.8986487328462474))"
39484-DTCO_343_O_296_112,Mid Devon,Bus Routes,"MultiLineString ((-3.4953926571995604 50.8986487328462474, -3.4955380068071711 50.8986579293522681))"
39485-DTCO_343_O_296_112,Mid Devon,Bus Routes,"MultiLineString ((-3.4955380068071711 50.8986579293522681, -3.495683217197302 50.8986672173959391))"
39486-DTCO_343_O_296_112,Mid Devon,Bus Routes,"MultiLineString ((-3.495683217197302 50.8986672173959391, -3.495823072925698 50.8986736062427312))"
39487-DTCO_343_O_296_112,Mid Devon,Bus Routes,"MultiLineString ((-3.495823072925698 50.8986736062427312, -3.4958848822744373 50.8986764101832421))"
39488-DTCO_343_O_296_112,Mid Devon,Bus Routes,"MultiLineString ((-3.4958848822744373 50.8986764101832421, -3.4959247598349212 50.8986782365586805))"
